,svm_linear,svm_rbf,MLP,GPR_rbf,GPR_matern3/2,GPR_matern5/2,DecisionTree,RandomForest_10,RandomForest_100,AdaBoost_10,AdaBoost_100,ExtraTrees_10,ExtraTrees_100
WFG7_30_250_normal.csv,-0.0734168804730384,-0.0734168804730384,-78.30548883206278,0.9668777565404165,0.9737823460924989,0.9752814994828786,0.1085943502155112,0.4822147715748367,0.5687552841701097,0.4772326463690663,0.5663864271241099,0.6274722637989691,0.6659700613621897
DTLZ2_20_900_uniform.csv,0.881130844750307,0.8703278571303577,0.8937178731942748,0.9367656110565956,0.9659239314959098,0.9698076030744129,0.8747047189919501,0.9292509079521292,0.9360553359048959,0.9185964856329122,0.9272507077947603,0.9298335221598034,0.9371972706085412
WFG1_20_300_normal.csv,-2.602939418007362,-2.602939418007362,-68.38483907332989,0.9533510164699737,0.9831442828979242,0.9813265972821188,0.5474021233639449,0.7800422620509997,0.8143113861705732,0.704436320632633,0.7900450106476372,0.8427220861938668,0.8765971188703616
ZDT3_30_1500_normal.csv,0.20953917086186316,0.06407814253070947,0.1720013895321187,-85.30119564595593,0.005580354086127959,-0.07165464362546352,0.802417474271875,0.894396687615967,0.9020934819580126,0.7935098805681349,0.8422605080652336,0.8703855746068697,0.8983529718825543
WFG5_6_500_uniform.csv,0.8866682297129842,0.9355087875240891,-0.9964229195912766,-109.6047680640905,0.9770253606971817,0.9704884044707051,0.7702303064391056,0.9009180583914951,0.9157906703158234,0.7975922977533176,0.8613558674375946,0.9222955911791392,0.9353846648570805
WFG3_20_200_uniform.csv,0.8628578813839264,0.6669075138947653,-13.784944660158468,0.9948117257426645,0.9984089154675015,0.9983721753576598,0.7332699620254548,0.8502896814400369,0.8649101755981304,0.8242991642029776,0.8719217105986836,0.8917671168693116,0.9134412637375379
WFG9_16_200_uniform.csv,0.2444459934552415,0.3262721480518951,-6.569660912973832,-0.0018528709679843437,0.35001544899590664,0.3173532736770719,0.32344731018759737,0.5766318629692717,0.6186174592468893,0.38090162640049535,0.5448170451579376,0.4650020906565152,0.5821409064146392
WFG8_30_350_uniform.csv,0.7792688999289203,0.5992139541053367,-12.384055863513206,0.9847116468952979,0.9922274703540804,0.9883685143123243,0.679624962836004,0.839393621287854,0.8671439974078285,0.8177711952847254,0.8842599111329322,0.8798636472489431,0.9044462215512032
WFG9_30_200_uniform.csv,0.06324328157432728,-0.061298243190721635,-16.20319441011457,-0.20390830080377934,-0.000803566536340905,-0.0525236968401517,0.012492250160480478,0.5300556951168145,0.5835133399290128,0.20569076839669828,0.431990895124548,0.36202430016893994,0.5188141274271804
WFG2_10_700_uniform.csv,0.7413589281922341,0.8644932817087199,-1.2484931771136665,0.9053651994597486,0.9354571899775236,0.9338332651126166,0.7940198698107308,0.9015781085718866,0.9137863178788157,0.8222198654747382,0.8799861880736769,0.9257675579958153,0.9449942355442582
WFG7_10_800_normal.csv,0.5235628158428476,0.46892069384597973,-2.399316285957321,0.9996919646687182,0.999057451866426,0.9996504564842785,0.4867240127621895,0.756728818170563,0.7826499282031272,0.5576907604934354,0.7334697555133536,0.7817939005833296,0.8193652527524107
DTLZ7_10_300_uniform.csv,0.9637094259494454,0.9144270449150739,0.8050861164162795,0.8929195839641448,0.9561498749399748,0.944470719566511,0.17731333085352025,0.6623356875329202,0.6893058200796708,0.5169185035849588,0.6896086420508041,0.7050634304249633,0.7353931013559467
WFG6_16_250_normal.csv,0.16850291592257943,0.039500715796124644,-11.731618620261358,0.99055792641459,0.9910878467951754,0.9929058180727962,0.87423024136494,0.9152099168352429,0.9249117299561371,0.8924926154407482,0.9129877960513433,0.9337198814271881,0.9460514917438404
DTLZ1_10_2000_normal.csv,0.10452386674598235,0.19971188590362188,-0.06081731136270037,-10.62345086027372,-10.62345086027372,-10.62345086027372,-0.19287994572404585,0.39047328979207174,0.4502231037456905,0.369758450911143,0.4185952554743643,0.3272445319894974,0.40114728480258643
DTLZ2_30_2000_uniform.csv,0.8876368023608441,0.9039700627844454,0.9091003943563031,0.949500610258551,0.9713630179553772,0.9746509817825328,0.8717798561491306,0.9360608464627971,0.9425255040560525,0.9243430012572018,0.9318194190525052,0.9359373562232058,0.943769865090086
WFG2_30_500_uniform.csv,0.7560979841333124,0.7153304427189259,-3.970092951395163,0.6652009417165123,0.7716221447789515,0.7566602124846981,0.7430102835837769,0.857158537909411,0.8734808624381802,0.8293007464894757,0.8678747994944572,0.8920418004598076,0.9136916191220148
DTLZ3_10_900_normal.csv,0.009303309923280679,0.03523329166830806,-3.0461426893843346,-13.050403024287306,-13.050403024287306,-13.050403024287306,-0.26478457529062616,0.3084803745605476,0.3776829173941456,0.25907050626060457,0.32537917318360093,0.254935548920571,0.31393358960189105
WFG9_6_2000_uniform.csv,0.3238245963096687,0.8813280747428486,0.6709768883879981,-74.97817388308061,0.9096089250802792,0.9058858462273598,0.6529185012953811,0.8292464692071526,0.8618368004581427,0.5089575069370079,0.5820082826100875,0.8426203326456025,0.8670580821306831
WFG4_6_250_normal.csv,0.5176466038986163,0.3773510078671352,-0.31303598053084564,-447.26837529002285,0.07631713544487177,-447.26837529002285,-0.11280465131138358,0.39460098291856555,0.4620096857485959,0.39973027040886144,0.48288287415301506,0.39397468356478116,0.43810942235965494
WFG6_20_800_normal.csv,0.2900530580636515,0.1798205187878699,-8.885802422813518,0.9960861543747483,0.9962043780723218,0.9966739353703262,0.9044665294010695,0.9489845922122392,0.9555632913611039,0.9137097392408784,0.9396144909710673,0.9563066135668808,0.9628739566254236
DTLZ7_16_600_normal.csv,0.8271713926520302,0.8599233516060034,0.6267573166757783,0.9582547526693235,0.9689152711460824,0.9692614168582715,0.11785835960306834,0.5333225352303705,0.6040686063348927,0.3573619273981984,0.5900912767643627,0.5732535458739989,0.6245285089344434
WFG8_20_500_normal.csv,0.40980661684875175,0.23970614512900373,-15.544941087579081,0.9995839301458945,0.9996981362351709,0.9996048011703227,0.7529583005181332,0.8783604139382462,0.896544291306175,0.8071214938222713,0.8783895591550781,0.9142937281883159,0.9246583281330762
DTLZ4_16_600_uniform.csv,0.003123513790943222,-0.04384657860907053,-0.12188558856954179,-0.571485592570449,-0.1770670895247699,-0.2822168216961035,0.8152191032614565,0.8910807934159338,0.9313366161412059,0.8944062574241505,0.9229882395888336,0.8258315701086865,0.8440796135933606
