,svm_linear,svm_rbf,MLP,GPR_rbf,GPR_matern3/2,GPR_matern5/2,DecisionTree,RandomForest_10,RandomForest_100,AdaBoost_10,AdaBoost_100,ExtraTrees_10,ExtraTrees_100
unconstrained-f-f1_2_400_uniform.csv,0.006214618682861328,0.00725555419921875,0.35721588134765625,0.18058156967163086,0.12424325942993164,0.10442805290222168,0.001722097396850586,0.01867961883544922,0.14580535888671875,0.008845090866088867,0.046851158142089844,0.008109331130981445,0.07060837745666504
unconstrained-f-f1_2_200_uniform.csv,0.001786947250366211,0.0019383430480957031,0.16117215156555176,0.03902626037597656,0.03382444381713867,0.02754354476928711,0.0007925033569335938,0.015333414077758789,0.11605715751647949,0.0077326297760009766,0.013059616088867188,0.006997346878051758,0.0578000545501709
speed-reducer-f1_7_400_uniform.csv,0.004744291305541992,0.0067942142486572266,0.27728819847106934,0.06760787963867188,0.09427523612976074,0.07824158668518066,0.002210855484008789,0.022348403930664062,0.1652054786682129,0.012789249420166016,0.11279582977294922,0.01021432876586914,0.09758901596069336
welded-beam-f1_4_700_uniform.csv,0.03819084167480469,0.020329713821411133,0.49149537086486816,0.4441664218902588,0.44481468200683594,0.46360087394714355,0.0026023387908935547,0.02477574348449707,0.18537425994873047,0.014379501342773438,0.11528611183166504,0.012754440307617188,0.1290581226348877
gear-train-f1_4_400_uniform.csv,0.30065274238586426,0.010282754898071289,0.3711516857147217,0.14670968055725098,0.13161110877990723,0.15740251541137695,0.001458883285522461,0.01789379119873047,0.14145636558532715,0.009254217147827148,0.0859687328338623,0.008488655090332031,0.08158111572265625
kursawe-f2_3_150_uniform.csv,0.0010190010070800781,0.0014519691467285156,0.12871646881103516,0.009257793426513672,0.021473407745361328,0.018101215362548828,0.0005497932434082031,0.012241601943969727,0.09891510009765625,0.007870674133300781,0.0755305290222168,0.006035804748535156,0.05600690841674805
speed-reducer-f3_7_200_uniform.csv,0.001615285873413086,0.001623392105102539,0.14388346672058105,0.025110960006713867,0.026037216186523438,0.027191877365112305,0.001058340072631836,0.015215873718261719,0.11892294883728027,0.009668350219726562,0.09259557723999023,0.007589817047119141,0.07104635238647461
unconstrained-f-f1_2_1000_uniform.csv,0.03834843635559082,0.047091007232666016,0.6495687961578369,1.0386154651641846,0.737520694732666,0.7661364078521729,0.004464149475097656,0.03475236892700195,0.26334476470947266,0.012144088745117188,0.021863937377929688,0.011134624481201172,0.10707235336303711
speed-reducer-f3_7_150_uniform.csv,0.0009696483612060547,0.001035451889038086,0.12735915184020996,0.018846511840820312,0.01626276969909668,0.018598079681396484,0.0008156299591064453,0.01380777359008789,0.10922479629516602,0.004594087600708008,0.0165250301361084,0.006844758987426758,0.06419157981872559
unconstrained-f-f1_2_150_uniform.csv,0.0011556148529052734,0.0011501312255859375,0.13132214546203613,0.027472972869873047,0.024854183197021484,0.02156996726989746,0.0006313323974609375,0.012750625610351562,0.10387086868286133,0.007537126541137695,0.07111549377441406,0.005843400955200195,0.05405426025390625
speed-reducer-f1_7_150_uniform.csv,0.0010173320770263672,0.0014009475708007812,0.12470459938049316,0.016950130462646484,0.014553070068359375,0.01664900779724121,0.0008833408355712891,0.013946533203125,0.1106562614440918,0.00883626937866211,0.0836946964263916,0.007678985595703125,0.06414270401000977
gear-train-f1_4_200_uniform.csv,0.1403186321258545,0.002488851547241211,0.15128850936889648,0.04201102256774902,0.02870917320251465,0.054190874099731445,0.0008356571197509766,0.013900518417358398,0.10968899726867676,0.008109331130981445,0.07554125785827637,0.006630420684814453,0.062067508697509766
pressure-f2_4_400_uniform.csv,0.006574392318725586,0.007860183715820312,0.26444530487060547,0.15302300453186035,0.09763860702514648,0.16896915435791016,0.001645803451538086,0.01591181755065918,0.1319725513458252,0.009676218032836914,0.09074115753173828,0.008757591247558594,0.08347439765930176
four-bar-f1_4_100_uniform.csv,0.0007917881011962891,0.0005447864532470703,0.11339831352233887,0.010840177536010742,0.01017904281616211,0.010358572006225586,0.0004582405090332031,0.011732339859008789,0.09544801712036133,0.007649421691894531,0.07343339920043945,0.005781412124633789,0.053572654724121094
kursawe-f1_3_400_uniform.csv,0.007558107376098633,0.0016887187957763672,0.2605323791503906,0.0265657901763916,0.12880349159240723,0.33072757720947266,0.0011990070343017578,0.016237974166870117,0.12579774856567383,0.009828805923461914,0.09074282646179199,0.007926702499389648,0.07497239112854004
pressure-f1_4_100_uniform.csv,0.0008192062377929688,0.0006198883056640625,0.10748815536499023,0.009902000427246094,0.016835927963256836,0.016284942626953125,0.00043845176696777344,0.011812925338745117,0.09563255310058594,0.007452726364135742,0.07137107849121094,0.005745649337768555,0.05343222618103027
gear-train-f1_4_700_uniform.csv,0.8248131275177002,0.025981664657592773,0.7018213272094727,0.3830103874206543,0.38967275619506836,0.5333070755004883,0.0023012161254882812,0.023438692092895508,0.18443751335144043,0.012015342712402344,0.1020207405090332,0.011809110641479492,0.11218714714050293
pressure-f1_4_150_uniform.csv,0.0017485618591308594,0.0010886192321777344,0.22101712226867676,0.008103370666503906,0.03091144561767578,0.03719282150268555,0.0005621910095214844,0.014003992080688477,0.10436511039733887,0.007934093475341797,0.07829952239990234,0.006303310394287109,0.0579831600189209
four-bar-f1_4_200_uniform.csv,0.00135040283203125,0.001562356948852539,0.14319133758544922,0.06515693664550781,0.024160385131835938,0.031524658203125,0.0007941722869873047,0.01361083984375,0.10700464248657227,0.008589744567871094,0.08170461654663086,0.006743192672729492,0.06290888786315918
